depth_index,area_m2,volume_m3
32.5,15780918.004952071,175712018.1670618
32.6,15836223.238674007,177302294.56296906
32.7,15893102.150460517,178885856.37375933
32.8,15950802.55262232,180489337.1287481
32.9,16009459.669912532,182082965.40822354
33,16071488.954484003,183698761.75760385
33.1,16135781.563361036,185319359.43087518
33.2,16203453.100756964,186934233.37840807
33.3,16274368.341918685,188570577.29805794
33.4,16349524.569400523,190198571.42726365
33.5,16489737.42561459,191857108.0953357
33.6,16604727.48475055,193526547.4281601
33.7,16760707.547179908,195200139.85121495
33.8,16788932.33377757,196887273.34298676
33.9,16804233.01459455,198558227.36207715
34,16826127.592436183,200248610.6427286
34.1,16844360.96008674,201938592.30586335
34.2,16863779.234636616,203617495.68109748
34.3,16885594.367935788,205313439.065536
34.4,16906331.083828714,206994787.98043063
34.5,16934251.614731826,208695770.51529446
